City,Date,Temperature,Humidity,Weather
Bangalore,2026-06-04 03:00:00,22.02,78,Clouds
Bangalore,2026-06-04 06:00:00,27.09,55,Clouds
Bangalore,2026-06-04 09:00:00,30.05,44,Clouds
Bangalore,2026-06-04 12:00:00,26.9,56,Rain
Bangalore,2026-06-04 15:00:00,24.79,63,Clouds
Bangalore,2026-06-04 18:00:00,22.67,72,Clouds
Bangalore,2026-06-04 21:00:00,21.35,79,Clouds
Bangalore,2026-06-05 00:00:00,20.82,82,Clouds
Bangalore,2026-06-05 03:00:00,23.6,69,Clouds
Bangalore,2026-06-05 06:00:00,28.3,48,Clouds
Bangalore,2026-06-05 09:00:00,30.56,41,Clouds
Bangalore,2026-06-05 12:00:00,27.87,52,Clouds
Bangalore,2026-06-05 15:00:00,25.32,58,Clouds
Chennai,2026-05-31 18:00:00,31.27,80,Clouds
Chennai,2026-05-31 21:00:00,30.57,74,Clouds
Chennai,2026-06-01 00:00:00,29.74,70,Clouds
Chennai,2026-06-01 03:00:00,31.65,54,Clouds
Chennai,2026-06-01 06:00:00,34.45,41,Clouds
Chennai,2026-06-01 09:00:00,33.38,54,Clouds
Chennai,2026-06-01 12:00:00,31.42,62,Clouds
Chennai,2026-06-01 15:00:00,30.0,71,Clouds
Chennai,2026-06-01 18:00:00,29.87,73,Clouds
Chennai,2026-06-01 21:00:00,29.54,69,Clear
Chennai,2026-06-02 00:00:00,29.04,72,Clouds
Chennai,2026-06-02 03:00:00,32.29,56,Clouds
Chennai,2026-06-02 06:00:00,34.72,49,Clouds
Chennai,2026-06-02 09:00:00,34.36,51,Clouds
Chennai,2026-06-02 12:00:00,30.44,66,Rain
Chennai,2026-06-02 15:00:00,30.45,72,Rain
Chennai,2026-06-02 18:00:00,30.46,65,Clouds
Chennai,2026-06-02 21:00:00,30.01,63,Clouds
Chennai,2026-06-03 00:00:00,29.37,64,Clouds
Chennai,2026-06-03 03:00:00,30.89,58,Clouds
Chennai,2026-06-03 06:00:00,31.44,59,Clouds
Chennai,2026-06-03 09:00:00,31.88,58,Clouds
Chennai,2026-06-03 12:00:00,31.17,63,Clouds
Chennai,2026-06-03 15:00:00,29.2,78,Clouds
Chennai,2026-06-03 18:00:00,29.5,76,Clouds
Chennai,2026-06-03 21:00:00,29.26,74,Clouds
Chennai,2026-06-04 00:00:00,30.58,60,Clouds
Chennai,2026-06-04 03:00:00,32.88,50,Clouds
Chennai,2026-06-04 06:00:00,35.81,43,Clouds
Chennai,2026-06-04 09:00:00,34.52,49,Clouds
Chennai,2026-06-04 12:00:00,34.12,50,Clouds
Chennai,2026-06-04 15:00:00,30.62,70,Clouds
Chennai,2026-06-04 18:00:00,32.16,55,Clouds
Chennai,2026-06-04 21:00:00,32.18,51,Clouds
Chennai,2026-06-05 00:00:00,30.78,53,Clouds
Chennai,2026-06-05 03:00:00,33.27,44,Clouds
Chennai,2026-06-05 06:00:00,36.47,37,Clear
Chennai,2026-06-05 09:00:00,33.89,50,Clear
Chennai,2026-06-05 12:00:00,31.38,62,Clouds
Chennai,2026-06-05 15:00:00,30.21,72,Clouds
Mumbai,2026-05-31 18:00:00,31.99,66,Rain
Mumbai,2026-05-31 21:00:00,31.83,65,Clouds
Mumbai,2026-06-01 00:00:00,31.07,69,Clouds
Mumbai,2026-06-01 03:00:00,30.81,67,Clear
Mumbai,2026-06-01 06:00:00,31.41,62,Clear
Mumbai,2026-06-01 09:00:00,31.53,62,Clear
Mumbai,2026-06-01 12:00:00,31.23,70,Clear
Mumbai,2026-06-01 15:00:00,30.46,73,Clear
Mumbai,2026-06-01 18:00:00,30.3,70,Clear
Mumbai,2026-06-01 21:00:00,30.09,68,Clear
Mumbai,2026-06-02 00:00:00,30.1,65,Rain
Mumbai,2026-06-02 03:00:00,30.55,61,Clouds
Mumbai,2026-06-02 06:00:00,30.69,64,Clouds
Mumbai,2026-06-02 09:00:00,30.77,65,Clear
Mumbai,2026-06-02 12:00:00,30.64,69,Clear
Mumbai,2026-06-02 15:00:00,30.32,71,Rain
Mumbai,2026-06-02 18:00:00,30.85,67,Rain
Mumbai,2026-06-02 21:00:00,30.46,67,Rain
Mumbai,2026-06-03 00:00:00,30.79,66,Rain
Mumbai,2026-06-03 03:00:00,30.92,67,Clouds
Mumbai,2026-06-03 06:00:00,31.03,67,Clouds
Mumbai,2026-06-03 09:00:00,31.09,68,Clear
Mumbai,2026-06-03 12:00:00,31.03,69,Rain
Mumbai,2026-06-03 15:00:00,30.52,69,Rain
Mumbai,2026-06-03 18:00:00,30.33,71,Clear
Mumbai,2026-06-03 21:00:00,29.97,71,Rain
Mumbai,2026-06-04 00:00:00,29.7,72,Rain
Mumbai,2026-06-04 03:00:00,29.53,72,Rain
Mumbai,2026-06-04 06:00:00,30.01,71,Rain
Mumbai,2026-06-04 09:00:00,30.5,71,Clear
Mumbai,2026-06-04 12:00:00,30.22,73,Rain
Mumbai,2026-06-04 15:00:00,30.12,72,Rain
